SYMBOL;TITLE;SECTOR
^FTMC;FTSE 250 Index;
3IN.L;3i Infrastructure PLC;Equity Investment Instruments
AA.L;AA;Support Services
ACA.L;ACACIA MINING;Mining
ADN.L;Aberdeen Asset Management PLC;Financial Services
AGK.L;Aggreko PLC;Support Services
AGR.L;Assura Group Ltd;Real Estate Investment Trusts
ALD.L;Aldermore Group PLC;Banks
ALM.L;Allied Minds PLC;Financial Services
AMFW.L;AMEC FOSTER WHEELER;Oil Equipment & Services
AO.L;AO WORLD;General Retailers
ASHM.L;Ashmore Group PLC;Financial Services
ASL.L;Aberforth Smaller Companies Trust PLC;Equity Investment Instruments
ATK.L;Atkins (WS) PLC;Support Services
ATST.L;Alliance Trust PLC;Equity Investment Instruments
AUTO.L;Auto Trader Group plc;Media
AVV.L;AVEVA Group PLC;Software & Computer Services
BAG.L;Barr (A G) PLC;Beverages
BBA.L;BBA Aviation PLC;Industrial Transportation
BBOX.L;Tritax Big Box;Real Estate Investment Trusts
BBY.L;Balfour Beatty PLC;Construction & Materials
BEZ.L;Beazley PLC;Nonlife Insurance
BGEO.L;Bank of Georgia Holdings PLC;Banks
BHMG.L;BH Macro Ltd;Equity Investment Instruments
BME.L;B&M European Value Retail SA;General Retailers
BNKR.L;Bankers Investment Trust PLC;Equity Investment Instruments
BOK.L;Booker Group PLC;Food & Drug Retailers
BOY.L;Bodycote PLC;Industrial Engineering
BRSN.L;Berendsen plc;Support Services
BRW.L;Brewin Dolphin Holdings Plc;Financial Services
BTEM.L;British Empire Securities & General Trust PLC;Equity Investment Instruments
BTG.L;BTG plc;Pharmaceuticals & Biotechnology
BVIC.L;Britvic PLC;Beverages
BVS.L;Bovis Homes Group PLC;Household Goods & Home Construction
BWNG.L;Brown (N) Group PLC;General Retailers
BWY.L;Bellway PLC;Household Goods & Home Construction
BYG.L;Big Yellow Group PLC;Real Estate Investment Trusts
CAPC.L;Capital & Counties Properties PLC;Real Estate Investment & Services
CARD.L;Card Factory PLC;General Retailers
CBG.L;Close Brothers Group PLC;Financial Services
CCC.L;Computacenter PLC;Software & Computer Services
CEY.L;Centamin PLC;Mining
CHOO.L;Jimmy Choo PLC;Personal Goods
CINE.L;Travel & Leisure;Travel & Leisure
CIR.L;Circassia Pharmaceuticals PLC;Pharmaceuticals & Biotechnology
CKN.L;Clarkson PLC;Industrial Transportation
CLDN.L;Caledonia Investments PLC;Equity Investment Instruments
CLI.L;CLS Holdings PLC;Real Estate Investment & Services
CLLN.L;Carillion PLC;Support Services
CNE.L;Cairn Energy PLC;Oil & Gas Producers
COB.L;Cobham PLC;Aerospace & Defense
CRDA.L;Croda International PLC;Chemicals
CRST.L;CREST NICHOLSON;Household Goods & Home Construction
CTY.L;City of London Investment Trust (The) PLC;Equity Investment Instruments
CWC.L;Cable & Wireless Communications PLC;Fixed Line Telecommunications
CWD.L;Countrywide PLC;Real Estate Investment & Services
CWK.L;Cranswick PLC;Food Producers
DCG.L;Dairy Crest Group PLC;Food Producers
DEB.L;Debenhams PLC;General Retailers
DFS.L;DFS FURNITURE;General Retailers
DJAN.L;Daejan Holdings PLC;Real Estate Investment & Services
DLN.L;Derwent London PLC;Real Estate Investment Trusts
DNLM.L;Dunelm Group PLC;General Retailers
DOM.L;Domino's Pizza Group PLC;Travel & Leisure
DPH.L;Dechra Pharmaceuticals PLC;Pharmaceuticals & Biotechnology
DPLM.L;Diploma PLC;Support Services
DRX.L;Drax Group PLC;Electricity
DTY.L;Dignity plc;General Retailers
ECM.L;Electrocomponents PLC;Support Services
EDIN.L;Edinburgh Investment Trust (The) PLC;Equity Investment Instruments
ELM.L;Elementis PLC;Chemicals
ELTA.L;Electra Private Equity PLC;Equity Investment Instruments
EMG.L;Man Group PLC;Financial Services
ERM.L;Euromoney Institutional Investor PLC;Media
ESNT.L;ESSENTRA;Support Services
ESUR.L;Esure Group PLC;Nonlife Insurance
ETO.L;Entertainment One Ltd;Media
EVR.L;EVRAZ PLC;Industrial Metals & Mining
FCPT.L;F&C Asset Management PLC;Real Estate Investment & Services
FCSS.L;Fidelity China Special Situations PLC;Equity Investment Instruments
FDSA.L;Fidessa Group PLC;Software & Computer Services
FEV.L;Fidelity European Values Ord;Equity Investment Instruments
FGP.L;FirstGroup PLC;Travel & Leisure
FGT.L;Finsbury Growth & Income Trust PLC;Equity Investment Instruments
FRCL.L;Foreign & Colonial Investment Trust PLC;Equity Investment Instruments
GCP.L;GCP Infrastructure Investments Ltd;Equity Investment Instruments
GFRD.L;Galliford Try PLC;Household Goods & Home Construction
GFS.L;G4S PLC;Support Services
GFTU.L;Grafton Group PLC;Support Services
GNC.L;Greencore Group PLC;Food Producers
GNK.L;Greene King PLC;Travel & Leisure
GNS.L;Genus PLC;Pharmaceuticals & Biotechnology
GOG.L;Go-Ahead Group (The) PLC;Travel & Leisure
GPOR.L;Great Portland Estates PLC;Real Estate Investment Trusts
GRG.L;Greggs PLC;Food & Drug Retailers
GRI.L;Grainger PLC;Real Estate Investment & Services
GSS.L;Genesis Emerging Markets Fund Ltd;Equity Investment Instruments
HAS.L;Hays PLC;Support Services
