symbol;title;sector;subsector
^GSPC;S&P 500 Index;;
IPG;Interpublic Group;Consumer Discretionary;Advertising
OMC;Omnicom Group;Consumer Discretionary;Advertising
GPS;Gap (The);Consumer Discretionary;Apparel Retail
LB;L Brands Inc.;Consumer Discretionary;Apparel Retail
ROST;Ross Stores;Consumer Discretionary;Apparel Retail
TJX;TJX Companies Inc.;Consumer Discretionary;Apparel Retail
URBN;Urban Outfitters;Consumer Discretionary;Apparel Retail
COH;Coach Inc.;Consumer Discretionary;Apparel, Accessories & Luxury Goods
FOSL;Fossil, Inc.;Consumer Discretionary;Apparel, Accessories & Luxury Goods
KORS;Michael Kors Holdings;Consumer Discretionary;Apparel, Accessories & Luxury Goods
NKE;Nike;Consumer Discretionary;Apparel, Accessories & Luxury Goods
RL;Polo Ralph Lauren Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods
PVH;PVH Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods
TIF;Tiffany & Co.;Consumer Discretionary;Apparel, Accessories & Luxury Goods
UA;Under Armour;Consumer Discretionary;Apparel, Accessories & Luxury Goods
VFC;V.F. Corp.;Consumer Discretionary;Apparel, Accessories & Luxury Goods
BWA;BorgWarner;Consumer Discretionary;Auto Parts & Equipment
DLPH;Delphi Automotive;Consumer Discretionary;Auto Parts & Equipment
JCI;Johnson Controls;Consumer Discretionary;Auto Parts & Equipment
F;Ford Motor;Consumer Discretionary;Automobile Manufacturers
GM;General Motors;Consumer Discretionary;Automobile Manufacturers
CVC;Cablevision Systems Corp.;Consumer Discretionary;Broadcasting & Cable TV
CBS;CBS Corp.;Consumer Discretionary;Broadcasting & Cable TV
CMCSA;Comcast Corp.;Consumer Discretionary;Broadcasting & Cable TV
DTV;DirecTV;Consumer Discretionary;Broadcasting & Cable TV
DISCA;Discovery Communications-A;Consumer Discretionary;Broadcasting & Cable TV
DISCK;Discovery Communications-C;Consumer Discretionary;Broadcasting & Cable TV
SNI;Scripps Networks Interactive Inc.;Consumer Discretionary;Broadcasting & Cable TV
TWX;Time Warner Inc.;Consumer Discretionary;Broadcasting & Cable TV
TWC;Time Warner Cable Inc.;Consumer Discretionary;Broadcasting & Cable TV
VIAB;Viacom Inc.;Consumer Discretionary;Broadcasting & Cable TV
DIS;The Walt Disney Company;Consumer Discretionary;Broadcasting & Cable TV
WYNN;Wynn Resorts Ltd;Consumer Discretionary;Casinos & Gaming
BBY;Best Buy Co. Inc.;Consumer Discretionary;Computer & Electronics Retail
DHI;D. R. Horton;Consumer Discretionary;Construction
GRMN;Garmin Ltd.;Consumer Discretionary;Consumer Electronics
HAR;Harman Int'l Industries;Consumer Discretionary;Consumer Electronics
M;Macy's Inc.;Consumer Discretionary;Department Stores
JWN;Nordstrom;Consumer Discretionary;Department Stores
DG;Dollar General;Consumer Discretionary;General Merchandise Stores
DLTR;Dollar Tree;Consumer Discretionary;General Merchandise Stores
FDO;Family Dollar Stores;Consumer Discretionary;General Merchandise Stores
KSS;Kohl's Corp.;Consumer Discretionary;General Merchandise Stores
TGT;Target Corp.;Consumer Discretionary;General Merchandise Stores
MHK;Mohawk Industries;Consumer Discretionary;Home Furnishings
HD;Home Depot;Consumer Discretionary;Home Improvement Retail
LOW;Lowe's Cos.;Consumer Discretionary;Home Improvement Retail
LEN;Lennar Corp.;Consumer Discretionary;Homebuilding
PHM;Pulte Homes Inc.;Consumer Discretionary;Homebuilding
RCL;Royal Caribbean Cruises Ltd;Consumer Discretionary;Hotel, Resorts and Cruise Lines
CCL;Carnival Corp.;Consumer Discretionary;Hotels, Resorts & Cruise Lines
EXPE;Expedia Inc.;Consumer Discretionary;Hotels, Resorts & Cruise Lines
MAR;Marriott Int'l.;Consumer Discretionary;Hotels, Resorts & Cruise Lines
PCLN;Priceline.com Inc;Consumer Discretionary;Hotels, Resorts & Cruise Lines
HOT;Starwood Hotels & Resorts;Consumer Discretionary;Hotels, Resorts & Cruise Lines
