Ticker	P_E	P_Free_Cash_Flow	Dividend_Yield	EPS_growth_this_year	Return_on_Equity	LT_Debt_Equity
A	34.39	42.7	0.95	-29	9.2	0.52
AA	78.95	65.64	0.76	109.8	0.6	0.72
AAPL	17.45	15.53	1.45	13.6	37.4	0.26
ABBV	55.73	NA	3.2	-57.2	37.2	3.11
ABC	1274.75	7.77	1.14	-42.4	1.8	1.13
ABT	42.02	NA	2.02	-10.3	14.7	0.16
ACE	11.87	10.3	2.27	38.2	11.1	0.15
ACN	20.29	23.49	2.25	-8.3	54.7	0
ADBE	148.21	34.36	NA	-5.4	4	0.13
ADI	28.57	69.3	2.5	-7.5	16.6	0.18
ADM	14	8.7	2.33	69.8	11.2	0.28
ADP	29.86	65.93	2.21	11.5	24.6	0
ADS	34.78	14.15	NA	9.3	37.7	3.92
ADSK	115.5	25.11	NA	-6.5	5.5	0.33
ADT	23.3	10.72	2.13	-11.7	9.6	1.7
AEE	17.76	NA	3.82	-1.4	8.7	0.86
AEP	16.04	NA	3.61	16.9	10.9	0.93
AES	19.18	NA	3.36	129.9	8.3	4.26
AET	17.27	NA	1.02	6.6	14.1	0.51
AFL	9.56	NA	2.51	-3.8	16.9	0.28
AGN	46.61	44.18	0.09	19.8	21.6	0.27
AIG	9.02	13.42	0.91	198	8.4	0.33
AIV	478	NA	2.93	-72.4	51.2	3.86
AIZ	9.45	NA	1.78	2.2	9	0.23
AKAM	38.92	49.89	NA	14.3	11.8	0.21
ALL	11.57	10.02	1.68	2.8	13.3	0.25
ALLE	35.52	33.45	0.68	-85.7	-270.8	NA
ALTR	23.78	25.92	1.99	11.8	14	0.45
ALXN	57.06	74.7	NA	156.7	21.9	0
AMAT	26.45	40.68	1.59	314.3	15	0.24
AME	22.44	22.06	0.7	12.9	17	0.44
AMG	28.24	NA	NA	21.7	27.4	0.72
AMGN	23.53	NA	2	0.9	21	1.17
AMP	16.37	NA	1.7	28.6	19.5	1.22
AMT	52.75	71.19	1.57	-13.8	18.5	3.09
AN	17.69	25.78	NA	15.7	20.3	0.95
ANTM	16.17	17.25	1.73	3.2	10.6	0.58
AON	21.49	25.71	1	32	19	0.73
APD	33.12	NA	1.95	-3	13.8	0.65
APH	25.52	30.9	0.88	12.8	35.5	0.92
ARG	24.07	79.36	1.87	7.6	18.8	0.84
AVB	35.04	NA	2.92	-82.4	10.6	0.69
AVGO	96.6	59.36	1.25	-47	8.4	1.4
AVY	20.56	66.49	2.59	7.4	18.8	0.89
AXP	14.38	NA	1.3	13.9	28.7	2.76
AZO	19.04	22.32	NA	13.6	-64.1	NA
BA	21.39	24.74	2.3	23.6	42	0.94
BAC	48.18	NA	1.22	-60	1.7	1.08
BAX	19.07	NA	3.06	-2.7	35.7	0.92
BBBY	15.63	14.77	NA	5	27.8	0.47
BBT	13.89	NA	2.51	25.6	9.4	1.07
BBY	13.5	18.37	1.93	242.4	23	0.35
BCR	47.08	28.96	0.5	-55.2	15.7	0.78
BDX	24.96	47.03	1.65	28.5	22.1	1.96
BEN	14.48	16.6	1.11	12.5	20.6	0.18
BHI	16.2	40.51	1.07	58.7	9.5	0.21
BIIB	32.96	36.07	NA	58.4	29.4	0.05
BK	14.72	NA	1.72	53.4	11.5	0.56
BLK	19.52	NA	2.32	14.1	18.2	0.22
BLL	22.18	18.25	0.71	21.3	39.7	2.42
BMY	50.43	449.07	2.45	-22.1	13.2	0.49
BRCM	41.37	19.39	1.25	47.9	7.5	0.18
BSX	82.35	NA	NA	322.2	4	0.56
BWA	21.43	113.13	0.85	5.9	17.7	0.2
BXP	49.42	NA	1.87	-30.1	7.9	1.83
C	23.54	NA	0.08	-48.4	3.3	1.12
CA	19.31	29.27	3.05	-2	14	0.22
CAG	287.67	29.7	2.9	-62.2	7.2	1.38
CAH	26.87	15.39	1.57	247.4	17.5	0.61
CAM	12.01	11.51	NA	47.3	25.8	0.62
CAT	14.39	16.74	3.32	2.3	19.3	1.66
CB	11.59	NA	2	-4.6	12.9	0.2
CBG	23.97	NA	NA	66.7	22.7	0.85
CBS	24.69	38.14	1.01	-13.6	37	0.93
CCE	16.94	26.1	2.51	7.8	37.2	2.32
CCI	170.6	54.37	3.7	-59.4	2.5	1.68
CCL	27.21	476.12	2.31	14.4	5	0.3
CELG	51.43	NA	NA	42.3	38.7	1.17
CERN	48.05	65.12	NA	32.7	15.6	0.02
CF	11.65	NA	1.95	9.5	30.7	1.09
CFN	25.51	25.2	NA	12.6	9.1	0.36
CHK	26.71	NA	1.72	150	4	0.87
CHRW	23.77	39.4	2.1	15.1	44.3	0
CI	16.19	19.46	0.03	-7.7	18.5	0.45
CINF	16.53	NA	3.5	1.6	8.2	0.13
CL	29.76	58.19	2.05	-0.8	146	4.93
CLX	24.7	44.11	2.72	-1.2	317.8	6.39
CMA	14.46	18.92	1.75	11.2	7.9	0.36
CMCSA	18.4	34.63	1.54	10.3	16.2	0.84
CME	28.13	NA	2.12	14.7	5.3	0.1
CMG	47.7	48.68	NA	35	24.4	0
CMI	15.8	27.13	2.19	14	21.6	0.21
